ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     8 May 25 01:33:47 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
AO-73                8 May 25 13:47:15   8 May 25 13:53:20     3ø
AO-73                8 May 25 15:19:21   8 May 25 15:31:15    60ø
AO-73                9 May 25 01:54:50   9 May 25 02:05:27    16ø
AO-73                9 May 25 03:29:11   9 May 25 03:40:31    22ø
AO-73                9 May 25 13:46:25   9 May 25 13:52:18     3ø
AO-73                9 May 25 15:18:25   9 May 25 15:30:21    62ø
AO-73               10 May 25 01:53:57  10 May 25 02:04:29    15ø
AO-73               10 May 25 03:28:14  10 May 25 03:39:36    22ø
AO-73               10 May 25 13:45:35  10 May 25 13:51:14     3ø
AO-73               10 May 25 15:17:28  10 May 25 15:29:24    65ø
AO-73               11 May 25 01:53:03  11 May 25 02:03:29    15ø
AO-73               11 May 25 03:27:15  11 May 25 03:38:39    23ø
AO-73               11 May 25 13:44:43  11 May 25 13:50:09     2ø
AO-73               11 May 25 15:16:29  11 May 25 15:28:27    67ø
AO-73               12 May 25 01:52:08  12 May 25 02:02:27    14ø
AO-73               12 May 25 03:26:15  12 May 25 03:37:41    24ø
AO-73               12 May 25 13:43:51  12 May 25 13:49:01     2ø
AO-73               12 May 25 15:15:28  12 May 25 15:27:28    70ø
AO-73               13 May 25 01:51:11  13 May 25 02:01:24    13ø
AO-73               13 May 25 03:25:14  13 May 25 03:36:42    24ø
AO-73               13 May 25 13:42:58  13 May 25 13:47:50     2ø

LO-74                8 May 25 01:53:17   8 May 25 02:05:54    54ø
LO-74                8 May 25 13:48:36   8 May 25 14:01:39    62ø
LO-74                8 May 25 15:26:15   8 May 25 15:34:19     6ø
LO-74                9 May 25 00:30:06   9 May 25 00:39:41    10ø
LO-74                9 May 25 02:04:00   9 May 25 02:16:25    38ø
LO-74                9 May 25 12:27:26   9 May 25 12:32:17     2ø
LO-74                9 May 25 13:59:09   9 May 25 14:12:14    84ø
LO-74                9 May 25 15:37:43   9 May 25 15:43:46     3ø
LO-74               10 May 25 00:40:05  10 May 25 00:50:41    14ø
LO-74               10 May 25 02:14:45  10 May 25 02:26:49    27ø
LO-74               10 May 25 12:36:46  10 May 25 12:44:12     4ø
LO-74               10 May 25 14:09:45  10 May 25 14:22:44    65ø
LO-74               10 May 25 15:50:06  10 May 25 15:52:14     0ø
LO-74               11 May 25 00:50:09  11 May 25 01:01:34    19ø
LO-74               11 May 25 02:25:34  11 May 25 02:37:07    20ø
LO-74               11 May 25 12:46:31  11 May 25 12:55:37     8ø
LO-74               11 May 25 14:20:22  11 May 25 14:33:08    46ø
LO-74               12 May 25 01:00:19  12 May 25 01:12:20    26ø
LO-74               12 May 25 02:36:28  12 May 25 02:47:18    15ø
LO-74               12 May 25 12:56:29  12 May 25 13:06:46    11ø
LO-74               12 May 25 14:31:04  12 May 25 14:43:27    33ø
LO-74               13 May 25 01:10:33  13 May 25 01:23:01    35ø
LO-74               13 May 25 02:47:29  13 May 25 02:57:22    10ø

EO-79                8 May 25 02:48:38   8 May 25 02:56:25     6ø
EO-79                8 May 25 04:20:31   8 May 25 04:32:23    46ø
EO-79                8 May 25 16:06:28   8 May 25 16:18:12    44ø
EO-79                8 May 25 17:42:28   8 May 25 17:50:07     6ø
EO-79                9 May 25 02:40:48   9 May 25 02:47:04     3ø
EO-79                9 May 25 04:11:46   9 May 25 04:23:47    65ø
EO-79                9 May 25 15:57:54   9 May 25 16:09:22    32ø
EO-79                9 May 25 17:33:18   9 May 25 17:42:03     9ø
EO-79               10 May 25 02:33:26  10 May 25 02:37:19     1ø
EO-79               10 May 25 04:03:03  10 May 25 04:15:06    89ø
EO-79               10 May 25 05:42:13  10 May 25 05:45:00     1ø
