ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     6 Jun 25 17:53:18 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
HO-68               10 Jun 25 02:01:02  10 Jun 25 02:20:26    67ø
HO-68               10 Jun 25 03:50:58  10 Jun 25 04:06:08    14ø
HO-68               10 Jun 25 13:42:09  10 Jun 25 13:59:55    25ø
HO-68               10 Jun 25 15:29:14  10 Jun 25 15:48:00    40ø
HO-68               11 Jun 25 00:04:53  11 Jun 25 00:10:20     1ø
HO-68               11 Jun 25 01:44:18  11 Jun 25 02:03:18    48ø

AO-73                7 Jun 25 01:21:13   7 Jun 25 01:25:34     2ø
AO-73                7 Jun 25 02:51:42   7 Jun 25 03:03:38    82ø
AO-73                7 Jun 25 14:40:55   7 Jun 25 14:52:58    32ø
AO-73                7 Jun 25 16:16:40   7 Jun 25 16:26:18    11ø
AO-73                8 Jun 25 01:19:58   8 Jun 25 01:23:38     1ø
AO-73                8 Jun 25 02:50:03   8 Jun 25 03:01:59    88ø
AO-73                8 Jun 25 04:30:43   8 Jun 25 04:31:26     0ø
AO-73                8 Jun 25 14:39:17   8 Jun 25 14:51:16    30ø
AO-73                8 Jun 25 16:14:56   8 Jun 25 16:24:45    11ø
AO-73                9 Jun 25 01:18:41   9 Jun 25 01:21:37     1ø
AO-73                9 Jun 25 02:48:23   9 Jun 25 03:00:18    87ø
AO-73                9 Jun 25 04:28:11   9 Jun 25 04:30:36     0ø
AO-73                9 Jun 25 14:37:38   9 Jun 25 14:49:34    29ø
AO-73                9 Jun 25 16:13:10   9 Jun 25 16:23:10    12ø
